make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,manufacturer
"Olds Toronado",10371,16,3,3.5,17,4030,206,43,350,2.41,"Domestic","Olds"
"Plym. Arrow",4647,28,3,2.0,11,3260,170,37,156,3.05,"Domestic","Plym."
"Plym. Champ",4425,34,5,2.5,11,1800,157,37,86,2.97,"Domestic","Plym."
"Plym. Horizon",4482,25,3,4.0,17,2200,165,36,105,3.37,"Domestic","Plym."
"Plym. Sapporo",6486,26,,1.5,8,2520,182,38,119,3.54,"Domestic","Plym."
"Plym. Volare",4060,18,2,5.0,16,3330,201,44,225,3.23,"Domestic","Plym."
"Pont. Catalina",5798,18,4,4.0,20,3700,214,42,231,2.73,"Domestic","Pont."
"Pont. Firebird",4934,18,1,1.5,7,3470,198,42,231,3.08,"Domestic","Pont."
"Pont. Grand Prix",5222,19,3,2.0,16,3210,201,45,231,2.93,"Domestic","Pont."
"Pont. Le Mans",4723,19,3,3.5,17,3200,199,40,231,2.93,"Domestic","Pont."
"Pont. Phoenix",4424,19,,3.5,13,3420,203,43,231,3.08,"Domestic","Pont."
"Pont. Sunbird",4172,24,2,2.0,7,2690,179,41,151,2.73,"Domestic","Pont."
"Audi 5000",9690,17,5,3.0,15,2830,189,37,131,3.20,"Foreign","Audi"
"Audi Fox",6295,23,3,2.5,11,2070,174,36,97,3.70,"Foreign","Audi"
"BMW 320i",9735,25,4,2.5,12,2650,177,34,121,3.64,"Foreign","BMW"
"Datsun 200",6229,23,4,1.5,6,2370,170,35,119,3.89,"Foreign","Datsun"
"Datsun 210",4589,35,5,2.0,8,2020,165,32,85,3.70,"Foreign","Datsun"
"Datsun 510",5079,24,4,2.5,8,2280,170,34,119,3.54,"Foreign","Datsun"
"Datsun 810",8129,21,4,2.5,8,2750,184,38,146,3.55,"Foreign","Datsun"
"Fiat Strada",4296,21,3,2.5,16,2130,161,36,105,3.37,"Foreign","Fiat"
"Honda Accord",5799,25,5,3.0,10,2240,172,36,107,3.05,"Foreign","Honda"
"Honda Civic",4499,28,4,2.5,5,1760,149,34,91,3.30,"Foreign","Honda"
"Mazda GLC",3995,30,4,3.5,11,1980,154,33,86,3.73,"Foreign","Mazda"
"Peugeot 604",12990,14,,3.5,14,3420,192,38,163,3.58,"Foreign","Peugeot"
"Renault Le Car",3895,26,3,3.0,10,1830,142,34,79,3.72,"Foreign","Renault"
"Subaru",3798,35,5,2.5,11,2050,164,36,97,3.81,"Foreign","Subaru"
"Toyota Celica",5899,18,5,2.5,14,2410,174,36,134,3.06,"Foreign","Toyota"
"Toyota Corolla",3748,31,5,3.0,9,2200,165,35,97,3.21,"Foreign","Toyota"
"Toyota Corona",5719,18,5,2.0,11,2670,175,36,134,3.05,"Foreign","Toyota"
"VW Dasher",7140,23,4,2.5,12,2160,172,36,97,3.74,"Foreign","VW"
"VW Diesel",5397,41,5,3.0,15,2040,155,35,90,3.78,"Foreign","VW"
"VW Rabbit",4697,25,4,3.0,15,1930,155,35,89,3.78,"Foreign","VW"
"VW Scirocco",6850,25,4,2.0,16,1990,156,36,97,3.78,"Foreign","VW"
"Volvo 260",11995,17,5,2.5,14,3170,193,37,163,2.98,"Foreign","Volvo"
